source_page,section,subsection,row_type,manager_fund_manager_strategy_label_raw,manager_fund_manager_strategy_label,manager_name_guess,product_name,flags,is_nav_stitched,is_fee_deducted,is_subscription_paused,fifty_underlying_start_date,return_1w_pct,return_mtd_pct,return_ytd_pct,return_2025_pct,return_2024_pct,return_2023_pct,return_2022_pct,return_2021_pct,return_2020_pct,return_2019_pct,sharpe_1y,max_drawdown_1y_pct,max_drawdown_hist_pct,extraction_quality_notes
8,量化选股,红利增强,product,"世纪前沿-红利,红利增强","世纪前沿-红利,红利增强",世纪前沿,世纪前沿金选中证红利优选1号B[1],[1],True,False,False,2025-09-05,-3.11,-1.98,5.42,14.99,-,-,-,-,-,-,1.52,-4.62,-10.80,
8,量化选股,红利增强,product,"成长 量派-红利,红利增强","量派-红利,红利增强",量派,量派专享五十一号,,False,False,False,-,-2.74,-2.21,3.63,-,-,-,-,-,-,-,-,-,-5.46,
8,量化选股,量化高仓位选股,product,成长 平方和,平方和,平方和,平方和鼎盛精选52号B[1],[1],True,False,False,2026-03-27,9.18,6.80,37.69,70.42,18.32,9.67,-9.30,27.13,34.75,30.77,3.09,-8.34,-24.09,
8,量化选股,量化高仓位选股,product,成长 正定,正定,正定,正定量化选股1号,,False,False,False,-,8.41,8.33,33.62,-,-,-,-,-,-,-,3.28,-5.90,-5.90,
8,量化选股,量化高仓位选股,product,诚奇,诚奇,诚奇,诚奇金选股票量化优选1号B[1],[1],True,False,False,2021-12-24,7.84,7.84,27.37,56.26,14.18,4.00,-5.95,-,-,-,3.05,-8.05,-26.13,
8,量化选股,量化高仓位选股,product,九坤,九坤,九坤,九坤金选股票量化优选1号,,False,False,False,2026-06-12,6.44,4.73,26.92,56.91,9.63,11.56,-6.20,-,-,-,3.07,-9.05,-30.31,
8,量化选股,量化高仓位选股,product,世纪前沿,世纪前沿,世纪前沿,世纪前沿金选股票量化优选1号[1],[1],True,False,False,2023-01-13,7.32,5.43,24.64,59.51,18.09,9.53,-,-,-,-,2.79,-9.64,-22.55,
9,量化选股,量化高仓位选股,product,顽岩,顽岩,顽岩,顽岩金选量化选股1号B[1],[1],True,False,False,2025-12-31,9.80,5.95,24.22,-,-,-,-,-,-,-,2.78,-9.96,-9.96,
9,量化选股,量化高仓位选股,product,成长 倍漾量化,倍漾量化,倍漾量化,倍漾金选股票量化优选1号B[1],[1],True,False,False,2025-02-21,6.47,3.57,20.46,66.21,14.41,-,-,-,-,-,2.59,-11.47,-27.57,
9,量化选股,量化高仓位选股,product,成长 致诚卓远,致诚卓远,致诚卓远,致远私享二号,,False,False,False,2022-02-17,5.57,2.87,10.92,40.81,11.17,5.01,-,-,-,-,1.79,-9.93,-26.03,
9,量化选股,量化高仓位选股,product,宽德,宽德,宽德,宽德金选股票量化优选1号B[1][3],[1];[3],True,False,True,2023-08-18,4.30,4.52,10.08,50.11,33.22,26.13,-,-,-,-,2.16,-7.06,-20.75,
9,量化选股,量化高仓位选股,product,成长 大道,大道,大道,大道金选量化选股1号B[1],[1],True,False,False,2025-06-20,2.96,0.47,7.99,55.38,22.59,14.70,-7.31,31.54,-,-,1.79,-11.34,-23.97,
9,量化选股,量化择时,product,成长 安子基金,安子基金,安子基金,安子金选量化择时1号B[1],[1],True,False,False,2025-05-30,12.40,10.23,29.11,55.46,36.87,-,-,-,-,-,2.10,-13.31,-39.86,
